NDB_No,Food_Name,Water_(g),Energy_Kcal,Protein_(g),Lipid_Total_(g),Ash_(g),Carbohydrates_(g),Fiber_TD_(g),Sugar_Total_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Pantothenic_Acid_mg),Vit_B6_(mg),Folate_Total_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_(mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE_(µg),Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholesterol_(mg),Refuse_Pct,Grams per Serving,Serving Size
11233,"KALE,RAW",84.04,49,4.28,0.93,2.01,8.75,3.6,2.26,150,1.47,47,92,491,38,0.56,1.499,0.659,0.9,120,0.11,0.13,1,0.091,0.271,141,0,141,141,0.8,0,9990,500,0,54,5927,81,0,8198,1.54,0,0,704.8,0.091,0.052,0.338,0,28,16,"1 cup, 1"" pieces, loosely packed"
11247,"LEEKS,(BULB&LOWER LEAF-PORTION),CKD,BLD,DRND,WO/SALT",90.8,31,0.81,0.2,0.57,7.62,1,2.11,30,1.1,14,17,87,10,0.06,0.062,0.247,0.5,4.2,0.026,0.02,0.2,0.072,0.113,24,0,24,24,,0,812,41,0,0,487,0,0,925,0.5,0,0,25.4,0.027,0.003,0.111,0,0,124,1 leek
09156,"LEMON PEEL,RAW",81.6,47,1.5,0.3,0.6,16,10.6,4.17,134,0.8,15,12,160,6,0.25,0.092,,0.7,129,0.06,0.08,0.4,0.319,0.172,13,0,13,13,8.5,0,50,3,0,1,7,45,0,18,0.25,0,0,0,0.039,0.011,0.089,0,0,6,1 tbsp
16070,"LENTILS,MATURE SEEDS,CKD,BLD,WO/SALT",69.64,116,9.02,0.38,0.83,20.13,7.9,1.8,19,3.33,36,180,369,2,1.27,0.251,0.494,2.8,1.5,0.169,0.073,1.06,0.638,0.178,181,0,181,181,32.7,0,8,0,0,0,5,0,0,0,0.11,0,0,1.7,0.053,0.064,0.175,0,0,198,1 cup
11249,"LENTILS,SPROUTED,CKD,STIR-FRIED,WO/SALT",68.7,101,8.8,0.45,0.8,21.25,,,14,3.1,35,153,284,10,1.6,0.337,0.502,0.6,12.6,0.22,0.09,1.2,0.571,0.164,67,0,67,67,,0,41,2,0,,,,,,,0,0,,0.053,0.095,0.201,0,0,198,1 cup
11032,"LIMA BNS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT",67.17,123,6.81,0.32,2.06,23.64,5.3,1.63,32,2.45,74,130,570,17,0.79,0.305,1.252,2,10.1,0.14,0.096,1.04,0.257,0.193,26,0,26,26,44.1,0,303,15,0,0,182,0,0,0,0.14,0,0,6.2,0.073,0.019,0.154,0,0,170,1 cup
16072,"LIMA BNS,LRG,MATURE SEEDS,CKD,BLD,WO/SALT",69.79,115,7.8,0.38,1.15,20.88,7,2.9,17,2.39,43,111,508,2,0.95,0.235,0.516,4.5,0,0.161,0.055,0.421,0.422,0.161,83,0,83,83,32.5,0,0,0,0,0,0,0,0,0,0.18,0,0,2,0.089,0.034,0.171,0,0,188,1 cup
09159,"LIMES,RAW",88.26,30,0.7,0.2,0.3,10.54,2.8,1.69,33,0.6,6,18,102,2,0.11,0.065,0.008,0.4,29.1,0.03,0.02,0.2,0.217,0.043,8,0,8,8,5.1,0,50,2,0,0,30,0,0,0,0.22,0,0,0.6,0.022,0.019,0.055,0,16,67,"1 fruit,  (2"" dia)"
07041,"LIVER SAUSAGE,LIVERWURST,PORK",52.1,326,14.1,28.5,3.1,2.2,0,,26,6.4,12,230,170,860,2.3,0.24,0.155,58,0,0.272,1.03,4.3,2.95,0.19,30,0,30,30,,13.46,27667,8308,8308,,,,,,,,,,10.6,13.34,2.6,158,0,18,"1 slice,  (2-1/2"" dia x 1/4"" thick)"
01077,"MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D",88.13,61,3.15,3.25,0.67,4.8,0,5.05,113,0.03,10,84,132,43,0.37,0.025,0.004,3.7,0,0.046,0.169,0.089,0.373,0.036,5,0,5,5,14.3,0.45,162,46,45,0,7,0,0,0,0.07,1.3,51,0.3,1.865,0.812,0.195,10,0,244,1 cup
20032,"MILLET,COOKED",71.41,119,3.51,1,0.41,23.67,1.3,0.13,3,0.63,44,100,62,2,0.91,0.161,0.272,0.9,0,0.106,0.082,1.33,0.171,0.108,19,0,19,19,11.2,0,3,0,0,0,2,0,0,70,0.02,0,0,0.3,0.172,0.184,0.508,0,0,174,1 cup
16112,MISO,43.02,199,11.69,6.01,12.81,26.47,5.4,6.2,57,2.49,48,159,210,3728,2.56,0.42,0.859,7,0,0.098,0.233,0.906,0.337,0.199,19,0,19,19,72.2,0.08,87,4,0,0,52,0,0,0,0.01,0,0,29.3,1.139,1.242,3.204,0,0,17,1 tbsp
11267,"MUSHROOMS,SHIITAKE,STIR-FRIED",87.74,39,3.45,0.35,0.78,7.68,3.6,0.3,2,0.53,19,111,326,5,0.96,0.163,0.223,6.3,0,0.099,0.274,3.87,1.36,0.174,14,0,14,14,59.4,0,0,0,0,0,0,0,0,0,0,0.5,21,0,0.03,0,0.14,0,0,89,"1 cup, whole"
11261,"MUSHROOMS,WHITE,CKD,BLD,DRND,WO/ SALT",91.08,28,2.17,0.47,0.99,5.29,2.2,2.34,6,1.74,12,87,356,2,0.87,0.504,0.115,11.9,4,0.073,0.3,4.46,2.16,0.095,18,0,18,18,20.4,0,0,0,0,0,0,0,0,0,0.01,0.2,8,0,0.061,0.008,0.183,0,0,156,"1 cup, pieces"
11263,"MUSHROOMS,WHITE,STIR-FRIED",91.1,26,3.58,0.33,0.94,4.04,1.8,0,4,0.25,11,105,396,12,0.57,0.291,0.047,13.9,0,0.096,0.463,3.987,1.45,0.042,20,0,20,20,21.9,0,0,0,0,0,0,0,0,0,0,0.2,8,0,0.04,0,0.16,0,0,108,"1 cup, sliced"
11270,"MUSTARD GREENS,RAW",90.7,27,2.86,0.42,1.36,4.67,3.2,1.32,115,1.64,32,58,384,20,0.25,0.165,,0.9,70,0.08,0.11,0.8,0.21,0.18,12,0,12,12,0.5,0,3024,151,0,10,1790,40,0,3730,2.01,0,0,257.5,0.01,0.092,0.038,0,7,56,"1 cup, chopped"
11271,"MUSTARD GRNS,CKD,BLD,DRND,WO/SALT",91.78,26,2.56,0.47,0.69,4.51,2,1.41,118,0.87,13,42,162,9,0.22,0.146,,0.6,25.3,0.041,0.063,0.433,0.12,0.098,9,0,9,9,0.4,0,12370,618,0,9,7400,35,0,10400,1.78,0,0,592.7,0.012,0.11,0.046,0,0,140,"1 cup, chopped"
12087,"NUTS,CASHEW NUTS,RAW",5.2,553,18.22,43.85,2.54,30.19,3.3,5.91,37,6.68,292,593,660,12,5.78,2.195,1.655,19.9,0.5,0.423,0.058,1.062,0.864,0.417,25,0,25,25,,0,0,0,0,0,0,0,0,22,0.9,0,0,34.1,7.783,23.797,7.845,0,,28,1 oz
20034,"OAT BRAN,COOKED",84,40,3.21,0.86,0.49,11.44,2.6,,10,0.88,40,119,92,1,0.53,0.066,0.964,7.7,0,0.16,0.034,0.144,0.217,0.025,6,0,6,6,,0,0,0,0,,,,,,,0,0,,0.163,0.291,0.339,0,0,219,1 cup
20038,OATS,8.22,389,16.89,6.9,1.72,66.27,10.6,,54,4.72,177,523,429,2,3.97,0.626,4.916,,0,0.763,0.139,0.961,1.349,0.119,56,0,56,56,,0,0,0,0,,,,,,,0,0,,1.217,2.178,2.535,0,0,156,1 cup
04047,"OIL,COCNT",0,862,0,100,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.09,0,0,0.5,86.5,5.8,1.8,0,0,13,1 tbsp
04053,"OIL,OLIVE,SALAD OR COOKING",0,884,0,100,0,0,0,0,1,0.56,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,14.35,0,0,60.2,13.808,72.961,10.523,0,0,13,1 tablespoon
09195,"OLIVES,PICKLED,CND OR BTLD,GRN",75.28,145,1.03,15.32,4.53,3.84,3.3,0.54,52,0.49,11,4,42,1556,0.04,0.12,,0.9,0,0.021,0.007,0.237,0.023,0.031,3,0,3,3,14.2,0,393,20,0,0,231,9,0,510,3.81,0,0,1.4,2.029,11.314,1.307,0,0,2,1 olive
11282,"ONIONS,RAW",89.11,40,1.1,0.1,0.35,9.34,1.7,4.24,23,0.21,10,29,146,4,0.17,0.039,0.129,0.5,7.4,0.046,0.027,0.116,0.123,0.12,19,0,19,19,6.1,0,2,0,0,0,1,0,0,4,0.02,0,0,0.4,0.042,0.013,0.017,0,10,160,"1 cup, chopped"
11286,"ONIONS,YEL,SAUTEED",80.01,132,0.95,10.8,0.38,7.86,1.7,,20,0.27,9,33,133,12,0.21,0.017,0.102,,1.8,0.049,0.041,0.037,0.172,0.207,2,,2,,6.5,,,,,,,,,,0.68,0,0,21.6,1.477,2.185,5.47,,0,87,"1 cup, chopped"
09226,"PAPAYAS,RAW",88.06,43,0.47,0.26,0.39,10.82,1.7,7.82,20,0.25,21,10,182,8,0.08,0.045,0.04,0.6,60.9,0.023,0.027,0.357,0.191,0.038,37,0,37,37,6.1,0,950,47,0,2,274,589,1828,89,0.3,0,0,2.6,0.081,0.072,0.058,0,38,145,"1 cup, 1"" pieces"
09252,"PEARS,RAW",83.96,57,0.36,0.14,0.32,15.23,3.1,9.75,9,0.18,7,12,116,1,0.1,0.082,0.048,0.1,4.3,0.012,0.026,0.161,0.049,0.029,7,0,7,7,5.1,0,25,1,0,1,14,2,0,44,0.12,0,0,4.4,0.022,0.084,0.094,0,10,140,"1 cup, slices"
11305,"PEAS,GRN,CKD,BLD,DRND,WO/SALT",77.87,84,5.36,0.22,0.92,15.63,5.5,5.93,27,1.54,39,117,271,3,1.19,0.173,0.525,1.9,14.2,0.259,0.149,2.021,0.153,0.216,63,0,63,63,29.7,0,801,40,0,22,470,0,0,2593,0.14,0,0,25.9,0.039,0.019,0.102,0,0,160,1 cup
16086,"PEAS,SPLIT,MATURE SEEDS,CKD,BLD,WO/SALT",69.49,118,8.34,0.39,0.68,21.1,8.3,2.9,14,1.29,36,99,362,2,1,0.181,0.396,0.6,0.4,0.19,0.056,0.89,0.595,0.048,65,0,65,65,32.8,0,7,0,0,0,4,0,0,0,0.03,0,0,5,0.054,0.081,0.165,0,0,196,1 cup
02030,"PEPPER,BLACK",12.46,251,10.39,3.26,4.49,63.95,25.3,0.64,443,9.71,171,158,1329,20,1.19,1.33,12.753,4.9,0,0.108,0.18,1.143,1.399,0.291,17,0,17,17,11.3,0,547,27,0,12,310,25,20,454,1.04,0,0,163.7,1.392,0.739,0.998,0,0,2,"1 tsp, ground"
02064,"PEPPERMINT,FRESH",78.65,70,3.75,0.94,1.76,14.89,8,,243,5.08,80,73,569,31,1.11,0.329,1.176,,31.8,0.082,0.266,1.706,0.338,0.129,114,0,114,114,,0,4248,212,0,,,,,,,0,0,,0.246,0.033,0.508,0,39,1,2 leaves
11921,"PEPPERS,SWT,RED,SAUTEED",78.95,133,1.04,12.75,0.7,6.57,1.8,4.28,7,0.47,12,23,193,21,0.15,0.017,0.115,,162.8,0.056,0.109,0.954,0.244,0.364,2,0,2,2,6.1,0,2760,138,0,96,1570,77,484,106,3.09,0,0,16.4,1.557,2.287,5.719,0,0,106,"1 cup, chopped"
09266,"PINEAPPLE,RAW,ALL VAR",86,50,0.54,0.12,0.22,13.12,1.4,9.85,13,0.29,12,8,109,1,0.12,0.11,0.927,0.1,47.8,0.079,0.032,0.5,0.213,0.112,18,0,18,18,5.5,0,58,3,0,0,35,0,0,0,0.02,0,0,0.7,0.009,0.013,0.04,0,49,165,"1 cup, chunks"
20137,"QUINOA,CKD",71.61,120,4.4,1.92,0.76,21.3,2.8,0.87,17,1.49,64,152,172,7,1.09,0.192,0.631,2.8,0,0.107,0.11,0.412,,0.123,42,0,42,42,23,0,5,0,0,0,3,0,0,53,0.63,0,0,0,0.231,0.528,1.078,0,0,185,1 cup
09302,"RASPBERRIES,RAW",85.75,52,1.2,0.65,0.46,11.94,6.5,4.42,25,0.69,22,29,151,1,0.42,0.09,0.67,0.2,26.2,0.032,0.038,0.598,0.329,0.055,21,0,21,21,12.3,0,33,2,0,16,12,0,0,136,0.87,0,0,7.8,0.019,0.064,0.375,0,4,123,1 cup
20037,"RICE,BROWN,LONG-GRAIN,CKD",73.09,111,2.58,0.9,0.46,22.96,1.8,0.35,10,0.42,43,83,43,5,0.63,0.1,0.905,9.8,0,0.096,0.025,1.528,0.285,0.145,4,0,4,4,9.2,0,0,0,0,0,0,0,0,0,0.17,0,0,0.6,0.18,0.327,0.323,0,0,195,1 cup
02036,"ROSEMARY,DRIED",9.31,331,4.88,15.22,6.53,64.06,42.6,,1280,29.25,220,70,955,50,3.23,0.55,1.867,4.6,61.2,0.514,0.428,1,,1.74,307,0,307,307,,0,3128,156,0,,,,,,,0,0,,7.371,3.014,2.339,0,0,1,1 tsp
02063,"ROSEMARY,FRESH",67.77,131,3.31,5.86,2.35,20.7,14.1,,317,6.65,91,66,668,26,0.93,0.301,0.96,,21.8,0.036,0.152,0.912,0.804,0.336,109,0,109,109,,0,2924,146,0,,,,,,,0,0,,2.838,1.16,0.901,0,35,1,1 tsp
20062,RYE GRAIN,10.6,338,10.34,1.63,1.57,75.86,15.1,0.98,24,2.63,110,332,510,2,2.65,0.367,2.577,13.9,0,0.316,0.251,4.27,1.456,0.294,38,0,38,38,30.4,0,11,1,0,0,7,0,0,210,0.85,0,0,5.9,0.197,0.208,0.767,0,0,169,1 cup
02038,"SAGE,GROUND",7.96,315,10.63,12.75,7.95,60.73,40.3,1.71,1652,28.12,428,91,1070,11,4.7,0.757,3.133,3.7,32.4,0.754,0.336,5.72,,2.69,274,0,274,274,43.6,0,5900,295,0,0,3485,109,0,1895,7.48,0,0,1714.5,7.03,1.87,1.76,0,0,1,1 tsp
15173,"SCALLOP,MXD SP,CKD,BREADED&FRIED",58.44,216,18.07,10.94,1.83,10.13,,,42,0.82,59,236,333,464,1.06,0.078,0.14,26.9,2.3,0.042,0.11,1.505,0.2,0.14,37,19,18,50,,1.32,75,22,,,,,,,,,,,2.669,4.498,2.856,54,0,31,2 large
11442,"SEAWEED,AGAR,RAW",91.32,26,0.54,0.03,1.36,6.75,0.5,0.28,54,1.86,67,5,226,9,0.58,0.061,0.373,0.7,0,0.005,0.022,0.055,0.302,0.032,85,0,85,85,6,0,0,0,0,0,0,0,0,0,0.87,0,0,2.3,0.006,0.003,0.01,0,0,10,"2 tbsp,  (1/8 cup)"
11444,"SEAWEED,IRISHMOSS,RAW",81.34,49,1.51,0.16,4.7,12.29,1.3,0.61,72,8.9,144,157,63,67,1.95,0.149,0.37,0.7,3,0.015,0.466,0.593,0.176,0.069,182,0,182,182,12.9,0,118,6,0,0,71,0,0,0,0.87,0,0,5,0.033,0.015,0.055,0,0,10,"2 tbsp,  (1/8 cup)"
11445,"SEAWEED,KELP,RAW",81.58,43,1.68,0.56,6.61,9.57,1.3,0.6,168,2.85,121,42,89,233,1.23,0.13,0.2,0.7,3,0.05,0.15,0.47,0.642,0.002,180,0,180,180,12.8,0,116,6,0,0,70,0,0,0,0.87,0,0,66,0.247,0.098,0.047,0,0,10,"2 tbsp,  (1/8 cup)"
11446,"SEAWEED,LAVER,RAW",85.03,35,5.81,0.28,3.77,5.11,0.3,0.49,70,1.8,2,58,356,48,1.05,0.264,0.988,0.7,39,0.098,0.446,1.47,0.521,0.159,146,0,146,146,10.4,0,5202,260,0,0,3121,0,0,0,1,0,0,4,0.061,0.025,0.11,0,0,26,10 sheets
11669,"SEAWEED,WAKAME,RAW",79.99,45,3.03,0.64,7.2,9.14,0.5,0.65,150,2.18,107,80,50,872,0.38,0.284,1.4,0.7,3,0.06,0.23,1.6,0.697,0.002,196,0,196,196,13.9,0,360,18,0,0,216,0,0,0,1,0,0,5.3,0.13,0.058,0.218,0,0,10,"2 tbsp,  (1/8 cup)"
12220,"SEEDS,FLAXSEED",6.96,534,18.29,42.16,3.72,28.88,27.3,1.55,255,5.73,392,642,813,30,4.34,1.22,2.482,25.4,0.6,1.644,0.161,3.08,0.985,0.473,87,0,87,87,78.7,0,0,0,0,0,0,0,0,651,0.31,0,0,4.3,3.663,7.527,28.73,0,0,10,"1 tbsp, whole"
12024,"SESAME SEEDS,WHL,RSTD&TSTD",3.3,565,16.96,48,6,25.74,14,,989,14.76,356,638,475,11,7.16,2.47,2.496,34.4,0,0.803,0.251,4.581,0.051,0.802,98,0,98,98,,0,9,0,0,,,,,,,0,0,,6.722,18.127,21.039,0,0,28,1 oz
11451,"SOYBEANS,GRN,CKD,BLD,DRND,WO/SALT",68.6,141,12.35,6.4,1.6,11.05,4.2,,145,2.5,60,158,539,14,0.91,0.117,0.502,1.4,17,0.26,0.155,1.25,0.128,0.06,111,0,111,111,,0,156,8,0,,,,,,,0,0,,0.74,1.209,3.011,0,0,180,1 cup
16109,"SOYBEANS,MATURE CKD,BLD,WO/SALT",62.55,173,16.64,8.97,1.91,9.93,6,3,102,5.14,86,245,515,1,1.15,0.407,0.824,7.3,1.7,0.155,0.285,0.399,0.179,0.234,54,0,54,54,47.5,0,9,0,0,0,5,0,0,0,0.35,0,0,19.2,1.297,1.981,5.064,0,0,172,1 cup
11453,"SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STMD",79.45,81,8.47,4.45,1.1,6.53,0.8,0.52,59,1.31,60,135,355,10,1.04,0.33,0.71,0.6,8.3,0.205,0.053,1.092,0.743,0.105,80,0,80,80,41.2,0,40,2,0,12,12,12,0,0,0.21,0,0,70.6,0.617,1.009,2.513,0,0,94,1 cup
02024,"SPICES,MUSTARD SD,GROUND",5.27,508,26.08,36.24,4.33,28.09,12.2,6.79,266,9.21,370,828,738,13,6.08,0.645,2.448,208.1,7.1,0.805,0.261,4.733,0.81,0.397,162,0,162,162,122.7,0,31,2,0,0,18,0,0,568,5.07,0,0,5.4,1.989,22.518,10.088,0,0,2,1 tsp
11458,"SPINACH,CKD,BLD,DRND,WO/ SALT",91.21,23,2.97,0.26,1.81,3.75,2.4,0.43,136,3.57,87,56,466,70,0.76,0.174,0.935,1.5,9.8,0.095,0.236,0.49,0.145,0.242,146,0,146,146,19.7,0,10481,524,0,0,6288,0,0,11308,2.08,0,0,493.6,0.043,0.006,0.109,0,0,180,1 cup
11457,"SPINACH,RAW",91.4,23,2.86,0.39,1.72,3.63,2.2,0.42,99,2.71,79,49,558,79,0.53,0.13,0.897,1,28.1,0.078,0.189,0.724,0.065,0.195,194,0,194,194,19.3,0,9377,469,0,0,5626,0,0,12198,2.03,0,0,482.9,0.063,0.01,0.165,0,28,30,1 cup
11642,"SQUASH,SMMR,ALL VAR,CKD,BLD,DRND,WO/SALT",93.7,20,0.91,0.31,0.77,4.31,1.4,2.59,27,0.36,24,39,192,1,0.39,0.103,0.213,0.2,5.5,0.044,0.041,0.513,0.137,0.065,20,0,20,20,7.9,0,212,11,0,0,127,0,0,2249,0.14,0,0,3.5,0.064,0.023,0.131,0,0,180,"1 cup, sliced"
11641,"SQUASH,SMMR,ALL VAR,RAW",94.64,16,1.21,0.18,0.62,3.35,1.1,2.2,15,0.35,17,38,262,2,0.29,0.051,0.175,0.2,17,0.048,0.142,0.487,0.155,0.218,29,0,29,29,6.7,0,200,10,0,0,120,0,0,2125,0.12,0,0,3,0.044,0.016,0.089,0,5,113,"1 cup, sliced"
11644,"SQUASH,WNTR,ALL VAR,CKD,BKD,WO/SALT",89.21,37,0.89,0.35,0.69,8.85,2.8,3.3,22,0.44,13,19,241,1,0.22,0.082,0.187,0.4,9.6,0.016,0.067,0.495,0.234,0.161,20,0,20,20,10.6,0,5223,261,0,682,2793,0,0,1415,0.12,0,0,4.4,0.072,0.026,0.147,0,0,205,"1 cup, cubes"
11643,"SQUASH,WNTR,ALL VAR,RAW",89.76,34,0.95,0.13,0.57,8.59,1.5,2.2,28,0.58,14,23,350,4,0.21,0.071,0.163,0.4,12.3,0.03,0.062,0.5,0.188,0.156,24,0,24,24,10,0,1367,68,0,0,820,0,0,38,0.12,0,0,1.1,0.027,0.01,0.056,0,29,116,"1 cup, cubes"
09316,"STRAWBERRIES,RAW",90.95,32,0.67,0.3,0.4,7.68,2,4.89,16,0.41,13,24,153,1,0.14,0.048,0.386,0.4,58.8,0.024,0.022,0.386,0.125,0.047,24,0,24,24,5.7,0,12,1,0,0,7,0,0,26,0.29,0,0,2.2,0.015,0.043,0.155,0,6,152,"1 cup,  halves"
16114,TEMPEH,59.65,193,18.54,10.8,1.62,9.39,,,111,2.7,81,266,412,9,1.14,0.56,1.3,0,0,0.078,0.358,2.64,0.278,0.215,24,0,24,24,,0.08,0,0,0,,,,,,,0,0,,2.22,3,3.827,0,0,166,1 cup
16174,"TEMPEH,CKD",59.56,196,18.19,11.38,1.53,9.35,,,96,2.13,77,253,401,14,1.57,0.54,1.285,0,,0.054,0.357,2.135,0.453,0.199,21,0,21,21,,0.14,,,,,,,,,,0,0,,3.4,3.745,2.638,,0,166,1 cup
16159,"TOFU,EX FIRM,PREP W/NIGARI",81.28,91,9.89,5.83,1,2,0.4,0.5,175,1.84,53,136,132,8,1.1,0.191,0.759,13,0.5,0.048,0.045,0.288,0.453,0.063,17,0,17,17,,0,0,0,0,,,,,,,0,0,,0.542,4.338,0.542,0,0,91,.2 block
16160,"TOFU,HARD,PREP W/NIGARI",71.12,146,12.68,9.99,1.82,4.39,0.6,,345,2.75,53,231,146,2,1.66,0.328,1.052,16.8,0.3,0.042,0.077,0.639,0.037,0.039,22,0,22,22,,0,,,,,,,,,,0,0,,1.445,2.205,5.638,0,0,122,.25 block
16127,"TOFU,SOFT,PREP W/CA SULFATE&MAGNESIUM CHLORIDE (NIGARI)",87.26,61,6.55,3.69,0.7,1.8,0.2,0.7,111,1.11,27,92,120,8,0.64,0.157,0.389,8.9,0.2,0.047,0.037,0.535,0.051,0.052,44,0,44,44,27.4,0,7,0,0,0,4,0,0,0,0.01,0,0,2,0.533,0.814,2.081,0,0,120,"1 piece,  (2-1/2"" x 2-3/4"" x 1"")"
11529,"TOMATOES,RED,RIPE,RAW,YEAR RND AVERAGE",94.52,18,0.88,0.2,0.5,3.89,1.2,2.63,10,0.27,11,24,237,5,0.17,0.059,0.114,0,13.7,0.037,0.019,0.594,0.089,0.08,15,0,15,15,6.7,0,833,42,0,101,449,0,2573,123,0.54,0,0,7.9,0.028,0.031,0.083,0,9,149,"1 cup,  cherry tomatoes"
15118,"TUNA,FRSH,BLUEFIN,CKD,DRY HEAT",59.09,184,29.91,6.28,1.51,0,0,,10,1.31,64,326,323,50,0.77,0.11,0.02,46.8,0,0.278,0.306,10.54,1.37,0.525,2,0,2,2,,10.88,2520,757,757,,,,,,,,,,1.612,2.053,1.844,49,0,85,3 oz
15221,"TUNA,YELLOWFIN,FRSH,CKD,DRY HEAT",68.98,130,29.15,0.59,1.96,0,0,0,4,0.92,42,333,527,54,0.45,0.043,0.013,108.2,0,0.134,0.137,22.07,0.334,1.038,2,0,2,2,77.6,2.35,65,22,22,0,0,0,0,0,0.29,2,82,0.1,0.205,0.138,0.175,47,0,85,3 oz
05220,"TURKEY,BREAST,FROM WHL BIRD,NON-ENHANCED,MEAT ONLY,RSTD",67.88,147,30.13,2.08,1.22,0,0,0,9,0.71,32,230,249,99,1.72,0.063,0.011,30.2,0,0.035,0.205,11.75,0.9,0.807,9,0,9,9,84.4,0.39,11,3,3,0,0,0,0,0,0.06,0.3,10,0,0.593,0.626,0.528,80,19,85,3 oz
02043,"TURMERIC,GROUND",12.85,312,9.68,3.25,7.08,67.14,22.7,3.21,168,55,208,299,2080,27,4.5,1.3,19.8,6.2,0.7,0.058,0.15,1.35,0.542,0.107,20,0,20,20,49.2,0,0,0,0,0,0,0,0,0,4.43,0,0,13.4,1.838,0.449,0.756,0,0,3,1 tsp
11568,"TURNIP GREENS,RAW",89.67,32,1.5,0.3,1.4,7.13,3.2,0.81,190,1.1,31,42,296,40,0.19,0.35,0.466,1.2,60,0.07,0.1,0.6,0.38,0.263,194,0,194,194,,0,11587,579,0,0,6952,0,0,12825,2.86,0,0,251,0.07,0.02,0.12,0,30,55,"1 cup, chopped"
11569,"TURNIP GRNS,CKD,BLD,DRND,WO/SALT",93.2,20,1.14,0.23,1.07,4.36,3.5,0.53,137,0.8,22,29,203,29,0.14,0.253,0.337,0.9,27.4,0.045,0.072,0.411,0.274,0.18,118,0,118,118,0.3,0,7625,381,0,0,4575,0,0,8440,1.88,0,0,367.6,0.053,0.015,0.091,0,0,144,"1 cup, chopped"
12154,"WALNUTS,BLACK,DRIED",4.56,619,24.06,59.33,2.47,9.58,6.8,1.1,61,3.12,201,513,523,2,3.37,1.36,3.896,17,1.7,0.057,0.13,0.47,1.66,0.583,31,0,31,31,32.1,0,40,2,0,0,24,0,0,9,2.08,0,0,2.7,3.483,15.442,36.437,0,76,125,"1 cup, chopped"
12155,"WALNUTS,ENGLISH",4.07,654,15.23,65.21,1.78,13.71,6.7,2.61,98,2.91,158,346,441,2,3.09,1.586,3.414,4.9,1.3,0.341,0.15,1.125,0.57,0.537,98,0,98,98,39.2,0,20,1,0,0,12,0,0,9,0.7,0,0,2.7,6.126,8.933,47.174,0,55,117,"1 cup, chopped"
20077,"WHEAT BRAN,CRUDE",9.89,216,15.55,4.25,5.79,64.51,42.8,0.41,73,10.57,611,1013,1182,2,7.27,0.998,11.5,77.6,0,0.523,0.577,13.578,2.181,1.303,79,0,79,79,74.4,0,9,0,0,0,6,0,0,240,1.49,0,0,1.9,0.63,0.637,2.212,0,0,58,1 cup
20078,"WHEAT GERM,CRUDE",11.12,360,23.15,9.72,4.21,51.8,13.2,,39,6.26,239,842,892,12,12.29,0.796,13.301,79.2,0,1.882,0.499,6.813,2.257,1.3,281,0,281,281,,0,0,0,0,,,,,,,0,0,,1.665,1.365,6.01,0,0,115,1 cup
20087,"WHEAT,SPROUTED",47.75,198,7.49,1.27,0.96,42.53,1.1,,28,2.14,82,200,169,16,1.65,0.261,1.858,42.5,2.6,0.225,0.155,3.087,0.947,0.265,38,0,38,38,,0,0,0,0,,,,,,,0,0,,0.206,0.151,0.557,0,0,108,1 cup
