NDB_No,Food_Name,Water_(g),Energy_Kcal,Protein_(g),Lipid_Total_(g),Ash_(g),Carbohydrates_(g),Fiber_TD_(g),Sugar_Total_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Pantothenic_Acid_mg),Vit_B6_(mg),Folate_Total_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_(mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE_(µg),Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholesterol_(mg),Refuse_Pct,Grams per Serving,Serving Size
01116,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",87.9,61,3.47,3.25,0.72,4.66,0,4.66,121,0.05,12,95,155,46,0.59,0.009,0.004,2.2,0.5,0.029,0.142,0.075,0.389,0.032,7,0,7,7,15.2,0.37,99,27,27,0,5,0,0,0,0.06,0.1,2,0.2,2.096,0.893,0.092,13,0,170,"1 container,  (6 oz)"
09004,"APPLES,RAW,WITHOUT SKIN",86.67,48,0.27,0.13,0.17,12.76,1.3,10.1,5,0.07,4,11,90,0,0.05,0.031,0.038,0,4,0.019,0.028,0.091,0.071,0.037,0,0,0,0,3.4,0,38,2,0,0,17,13,0,18,0.05,0,0,0.6,0.021,0.005,0.037,0,23,216,"1 large,  (3-1/4"" dia)"
11959,"ARUGULA,RAW",91.71,25,2.58,0.66,1.4,3.65,1.6,2.05,160,1.46,47,52,369,27,0.47,0.076,0.321,0.3,15,0.044,0.086,0.305,0.437,0.073,97,0,97,97,15.3,0,2373,119,0,0,1424,0,0,3555,0.43,0,0,108.6,0.086,0.049,0.319,0,40,10,.5 cup
11012,"ASPARAGUS,CKD,BLD,DRND",92.63,22,2.4,0.22,0.63,4.11,2,1.3,23,0.91,14,54,224,14,0.6,0.165,0.154,6.1,7.7,0.162,0.139,1.084,0.225,0.079,149,0,149,149,26.1,0,1006,50,0,0,604,0,30,771,1.5,0,0,50.6,0.048,0,0.105,0,0,60,"4 spears,  (1/2"" base)"
11705,"ASPARAGUS,CKD,BLD,DRND,W/SALT",92.63,22,2.4,0.22,0.63,4.11,2,1.3,23,0.91,14,54,224,240,0.6,0.165,0.154,6.1,7.7,0.162,0.139,1.084,0.225,0.079,149,0,149,149,26.1,0,1006,50,0,0,604,0,30,771,1.5,0,0,50.6,0.048,0,0.105,0,0,60,"4 spears,  (1/2"" base)"
09040,"BANANAS,RAW",74.91,89,1.09,0.33,0.82,22.84,2.6,12.23,5,0.26,27,22,358,1,0.15,0.078,0.27,1,8.7,0.031,0.073,0.665,0.334,0.367,20,0,20,20,9.8,0,64,3,0,25,26,0,0,22,0.1,0,0,0.5,0.112,0.032,0.073,0,36,150,"1 cup, sliced"
13000,"BEEF,GRASS-FED,STRIP STEAKS,LN,RAW",73.42,117,23.07,2.69,1.69,0,0,0,9,1.85,23,212,342,55,3.61,0.068,0.009,21.1,0,0.052,0.124,6.703,0.678,0.651,13,0,13,13,65.1,1.27,0,0,0,0,0,0,0,0,0.22,,,0.9,1.032,0.995,0.108,55,34,214,1 steak
23569,"BEEF,GROUND,85% LN MEAT / 15% FAT,PATTY,CKD,PAN-BROILED",60.61,232,24.62,14.02,1.07,0,0,0,20,2.68,22,211,349,79,6.2,0.081,0.012,20.3,0,0.043,0.177,5.778,0.728,0.367,8,0,8,8,81.1,2.79,10,3,3,0,0,0,0,0,0.13,0,2,1.5,5.331,6.034,0.438,84,0,83,"1 patty,  ( yield from 1/4 lb raw meat )"
11081,"BEETS,CKD,BLD,DRND",87.06,44,1.68,0.18,1.12,9.96,2,7.96,16,0.79,23,38,305,77,0.35,0.074,0.326,0.7,3.6,0.027,0.04,0.331,0.145,0.067,80,0,80,80,6.3,0,35,2,0,0,21,0,0,0,0.04,0,0,0.2,0.028,0.035,0.064,0,0,100,"2 beets,  (2"" dia, sphere)"
09050,"BLUEBERRIES,RAW",84.21,57,0.74,0.33,0.24,14.49,2.4,9.96,6,0.28,6,12,77,1,0.16,0.057,0.336,0.1,9.7,0.037,0.041,0.418,0.124,0.052,6,0,6,6,6,0,54,3,0,0,32,0,0,80,0.57,0,0,19.3,0.028,0.047,0.146,0,5,68,50 berries
11099,"BRUSSELS SPROUTS,CKD,BLD,DRND,WO/SALT",88.9,36,2.55,0.5,0.95,7.1,2.6,1.74,36,1.2,20,56,317,21,0.33,0.083,0.227,1.5,62,0.107,0.08,0.607,0.252,0.178,60,0,60,60,40.6,0,775,39,0,0,465,0,0,1290,0.43,0,0,140.3,0.102,0.038,0.255,0,0,78,.5 cup
11113,"CABBAGE,RED,CKD,BLD,DRND,WO/SALT",90.84,29,1.51,0.09,0.62,6.94,2.6,3.32,42,0.66,17,33,262,28,0.25,0.054,0.223,2.3,34.4,0.071,0.06,0.382,0.154,0.225,24,0,24,24,21.4,0,33,2,0,0,20,0,0,20,0.12,0,0,47.6,0.011,0.007,0.043,0,0,75,".5 cup, shredded"
09060,"CARAMBOLA,(STARFRUIT),RAW",91.38,31,1.04,0.33,0.52,6.73,2.8,3.98,3,0.08,10,12,133,2,0.12,0.137,0.037,0.6,34.4,0.014,0.016,0.367,0.391,0.017,12,0,12,12,7.6,0,61,3,0,24,25,0,0,66,0.15,0,0,0,0.019,0.03,0.184,0,3,108,"1 cup, sliced"
11125,"CARROTS,CKD,BLD,DRND,WO/SALT",90.17,35,0.76,0.18,0.67,8.22,3,3.45,30,0.34,10,30,235,58,0.2,0.017,0.155,0.7,3.6,0.066,0.044,0.645,0.232,0.153,14,0,14,14,8.8,0,17033,852,0,3776,8332,0,0,687,1.03,0,0,13.7,0.03,0.006,0.089,0,0,78,".5 cup, slices"
11136,"CAULIFLOWER,CKD,BLD,DRND,WO/SALT",93,23,1.84,0.45,0.6,4.11,2.3,2.08,16,0.32,9,32,142,15,0.17,0.018,0.132,0.6,44.3,0.042,0.052,0.41,0.508,0.173,44,0,44,44,39.1,0,12,1,0,0,7,0,0,29,0.07,0,0,13.8,0.07,0.032,0.217,0,0,54,3 flowerets
11144,"CELERY,CKD,BLD,DRND,WO/SALT",94.11,18,0.83,0.16,0.9,4,1.6,2.37,42,0.42,12,25,284,91,0.14,0.036,0.106,1,6.1,0.023,0.07,0.372,0.317,0.086,33,0,33,33,7.9,0,521,26,0,0,313,0,0,329,0.35,0,0,37.8,0.04,0.03,0.075,0,0,75,2 stalks
01011,"CHEESE,COLBY",38.2,394,23.76,32.11,3.36,2.57,0,0.52,685,0.76,26,457,127,604,3.07,0.042,0.012,14.5,0,0.015,0.375,0.093,0.21,0.079,18,0,18,18,15.4,0.83,994,264,257,0,82,0,0,0,0.28,0.6,24,2.7,20.218,9.28,0.953,95,0,113,"1 cup, shredded"
01019,"CHEESE,FETA",55.22,264,14.21,21.28,5.2,4.09,0,4.09,493,0.65,19,337,62,917,2.88,0.032,0.028,15,0,0.154,0.844,0.991,0.967,0.424,32,0,32,32,15.4,1.69,422,125,125,0,3,0,0,0,0.18,0.4,16,1.8,14.946,4.623,0.591,89,0,28.35,1 oz
01020,"CHEESE,FONTINA",37.92,389,25.6,31.14,3.79,1.55,0,1.55,550,0.23,14,346,64,800,3.5,0.025,0.014,14.5,0,0.021,0.204,0.15,0.429,0.083,6,0,6,6,15.4,1.68,913,261,258,0,32,0,0,0,0.27,0.6,23,2.6,19.196,8.687,1.654,116,0,108,"1 cup, shredded"
01025,"CHEESE,MONTEREY",41.01,373,24.48,30.28,3.55,0.68,0,0.5,746,0.72,27,444,81,600,3,0.032,0.011,14.5,0,0.015,0.39,0.093,0.21,0.079,18,0,18,18,15.4,0.83,769,198,192,0,78,0,0,0,0.26,0.6,22,2.5,19.066,8.751,0.899,89,0,113,"1 cup, shredded"
01026,"CHEESE,MOZZARELLA,WHL MILK",50.01,300,22.17,22.35,3.28,2.19,0,1.03,505,0.44,20,354,76,627,2.92,0.011,0.03,17,0,0.03,0.283,0.104,0.141,0.037,7,0,7,7,15.4,2.28,676,179,174,0,57,0,0,0,0.19,0.4,16,2.3,13.152,6.573,0.765,79,0,28.35,1 oz
01035,"CHEESE,PROVOLONE",40.95,351,25.58,26.62,4.71,2.14,0,0.56,756,0.52,28,496,138,876,3.23,0.026,0.01,14.5,0,0.019,0.321,0.156,0.476,0.073,10,0,10,10,15.4,1.46,880,236,230,0,68,0,0,0,0.23,0.5,20,2.2,17.078,7.393,0.769,69,0,28.35,1 oz
12109,"COCONUT MEAT,DRIED (DESICCATED),SWTND,FLAKED,PACKAGED",15.46,456,3.13,27.99,1.57,51.85,9.9,36.75,11,1.51,51,100,361,285,0.71,0.295,0.959,16.1,0,0.015,0.015,0.697,0.14,0.03,3,0,3,3,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,26.396,1.377,0.222,0,0,28.35,1 oz
12104,"COCONUT MEAT,RAW",46.99,354,3.33,33.49,0.97,15.23,9,6.23,14,2.43,32,113,356,20,1.1,0.435,1.5,10.1,3.3,0.066,0.02,0.54,0.3,0.054,26,0,26,26,12.1,0,0,0,0,0,0,0,0,0,0.24,0,0,0.2,29.698,1.425,0.366,0,48,397,1 medium
12118,"COCONUT MILK,CND (LIQ EXPRESSED FROM GRATED MEAT&H2O)",72.88,197,2.02,21.33,0.97,2.81,,,18,3.3,46,96,220,13,0.56,0.223,0.768,,1,0.022,0,0.637,0.153,0.028,14,0,14,14,8.5,0,0,0,0,,,,,,,0,0,,18.915,0.907,0.233,0,0,15,1 tbsp
15016,"COD,ATLANTIC,CKD,DRY HEAT",75.92,105,22.83,0.86,1.49,0,0,0,14,0.49,42,138,244,78,0.58,0.036,0.02,37.6,1,0.088,0.079,2.513,0.18,0.283,8,0,8,8,83.7,1.05,47,14,14,0,0,0,0,0,0.81,1.2,46,0.1,0.168,0.124,0.292,55,0,180,1 fillet
09078,"CRANBERRIES,RAW",87.13,46,0.39,0.13,0.15,12.2,4.6,4.04,8,0.25,6,13,85,2,0.1,0.061,0.36,0.1,13.3,0.012,0.02,0.101,0.295,0.057,1,0,1,1,5.5,0,60,3,0,0,36,0,0,91,1.2,0,0,5.1,0.011,0.018,0.055,0,2,100,"1 cup, whole"
02017,"DILL WEED,DRIED",7.3,253,19.96,4.36,12.56,55.82,13.6,,1784,48.78,451,543,3308,208,3.3,0.49,3.95,,50,0.418,0.284,2.807,,1.71,,,,,,0,5850,293,0,,,,,,,0,0,,0.234,,,0,0,3.1,1 tbsp
01130,"EGG,WHOLE,COOKED,OMELET",76.13,154,10.57,11.66,1.01,0.64,0,0.31,48,1.48,11,167,117,155,1.09,0.063,0.024,25.8,0,0.034,0.386,0.064,1.289,0.143,39,0,39,39,247.6,0.76,617,172,169,0,28,8,0,423,1.29,1.7,69,4.5,3.319,4.843,2.712,313,0,61,1 large
09089,"FIGS,RAW",79.11,74,0.75,0.3,0.66,19.18,2.9,16.26,35,0.37,17,14,232,1,0.15,0.07,0.128,0.2,2,0.06,0.05,0.4,0.3,0.113,6,0,6,6,4.7,0,142,7,0,0,85,0,0,9,0.11,0,0,4.7,0.06,0.066,0.144,0,1,50,"1 medium,  (2-1/4"" dia)"
15121,"FISH,TUNA,LT,CND IN H2O,DRND SOL",78.14,86,19.44,0.96,0.95,0,0,0,17,1.63,23,139,179,247,0.69,0.05,0.019,70.6,0,0.03,0.084,10.136,0.148,0.319,4,0,4,4,29.3,2.55,57,17,17,0,0,0,0,0,0.33,1.2,47,0.2,0.211,0.107,0.277,36,0,85,3 oz
11215,"GARLIC,RAW",58.58,149,6.36,0.5,1.5,33.06,2.1,1,181,1.7,25,153,401,17,1.16,0.299,1.672,14.2,31.2,0.2,0.11,0.7,0.596,1.235,3,0,3,3,23.2,0,9,0,0,0,5,0,0,16,0.08,0,0,1.7,0.089,0.011,0.249,0,13,2.8,1 tsp
02021,"GINGER,GROUND",9.94,335,8.98,4.24,5.22,71.62,14.1,3.39,114,19.8,214,168,1320,27,3.64,0.48,33.3,55.8,0.7,0.046,0.17,9.62,0.477,0.626,13,0,13,13,41.2,0,30,2,0,0,18,0,0,0,0,0,0,0.8,2.599,0.479,0.929,0,0,5.2,1 tbsp
12129,"GINKGO NUTS,CANNED",72.95,111,2.29,1.62,1.04,22.1,9.3,,4,0.29,16,54,180,307,0.21,0.166,0.068,0.5,9.1,0.133,0.054,3.623,0.097,0.198,33,0,33,33,,0,337,17,0,,,,,,,0,0,,0.309,0.599,0.597,0,41,28.35,"1 oz,  (14 kernels)"
09112,"GRAPEFRUIT,RAW,PINK&RED,ALL AREAS",88.06,42,0.77,0.14,0.36,10.66,1.6,6.89,22,0.08,9,18,135,0,0.07,0.032,0.022,0.1,31.2,0.043,0.031,0.204,0.262,0.053,13,0,13,13,7.7,0,1150,58,0,3,686,6,1419,5,0.13,0,0,0,0.021,0.02,0.036,0,49,123,".5 fruit,  (3-3/4"" dia)"
09132,"GRAPES,RED OR GRN (EURO TYPE,SUCH AS THOMPSON SEEDLESS),RAW",80.54,69,0.72,0.16,0.48,18.1,0.9,15.48,10,0.36,7,20,191,2,0.07,0.127,0.071,0.1,3.2,0.069,0.07,0.188,0.05,0.086,2,0,2,2,5.6,0,66,3,0,1,39,0,0,72,0.19,0,0,14.6,0.054,0.007,0.048,0,4,49,10 grapes
09148,"KIWIFRUIT,GRN,RAW",83.07,61,1.14,0.52,0.61,14.66,3,8.99,34,0.31,17,34,312,3,0.14,0.13,0.098,0.2,92.7,0.027,0.025,0.341,0.183,0.063,25,0,25,25,7.8,0,87,4,0,0,52,0,0,122,1.46,0,0,40.3,0.029,0.047,0.287,0,24,69,"1 fruit,  (2"" dia)"
17028,"LAMB,DOM,LOIN,LN,1/4""FAT,CHOIC,CKD,RSTD",62.76,202,26.59,9.76,1.35,0,0,,17,2.44,27,206,267,66,4.06,0.132,0.026,30.3,0,0.1,0.27,6.83,0.68,0.16,25,0,25,25,,2.16,0,0,0,,,,,,0.16,,,,3.72,3.95,0.86,87,44,193,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
11246,"LEEKS,(BULB&LOWER LEAF-PORTION),RAW",83,61,1.5,0.3,1.05,14.15,1.8,3.9,59,2.1,28,35,180,20,0.12,0.12,0.481,1,12,0.06,0.03,0.4,0.14,0.233,64,0,64,64,9.5,0,1667,83,0,0,1000,0,0,1900,0.92,0,0,47,0.04,0.004,0.166,0,56,89,1 leek
09152,"LEMON JUICE,RAW",92.31,22,0.35,0.24,0.21,6.9,0.3,2.52,6,0.08,6,8,103,1,0.05,0.016,0.012,0.1,38.7,0.024,0.015,0.091,0.131,0.046,20,0,20,20,5.1,0,6,0,0,0,1,4,0,15,0.15,0,0,0,0.04,0.006,0.021,0,0,30.5,1 fl oz
09150,"LEMONS,RAW,WITHOUT PEEL",88.98,29,1.1,0.3,0.3,9.32,2.8,2.5,26,0.6,8,16,138,2,0.06,0.037,0.03,0.4,53,0.04,0.02,0.1,0.19,0.08,11,0,11,11,5.1,0,22,1,0,1,3,20,0,11,0.15,0,0,0,0.039,0.011,0.089,0,47,58,"1 fruit,  (2-1/8"" dia)"
11251,"LETTUCE,COS OR ROMAINE,RAW",94.61,17,1.23,0.3,0.58,3.29,2.1,1.19,33,0.97,14,30,247,8,0.23,0.048,0.155,0.4,4,0.072,0.067,0.313,0.142,0.074,136,0,136,136,9.9,0,8710,436,0,0,5226,0,0,2312,0.13,0,0,102.5,0.039,0.012,0.16,0,6,6,"1 leaf, inner"
09160,"LIME JUICE,RAW",90.79,25,0.42,0.07,0.31,8.42,0.4,1.69,14,0.09,8,14,117,2,0.08,0.027,0.018,0.1,30,0.025,0.015,0.142,0.123,0.038,10,0,10,10,5.1,0,50,2,0,0,30,0,0,0,0.22,0,0,0.6,0.008,0.008,0.023,0,0,30.8,1 fl oz
09176,"MANGOS,RAW",83.46,60,0.82,0.38,0.36,14.98,1.6,13.66,11,0.16,10,14,168,1,0.09,0.111,0.063,0.6,36.4,0.028,0.038,0.669,0.197,0.119,43,0,43,43,7.6,0,1082,54,0,9,640,10,3,23,0.9,0,0,4.2,0.092,0.14,0.071,0,20,336,"1 fruit, without refuse"
09181,"MELONS,CANTALOUPE,RAW",90.15,34,0.84,0.19,0.65,8.16,0.9,7.86,9,0.21,12,15,267,16,0.18,0.041,0.041,0.4,36.7,0.041,0.019,0.734,0.105,0.072,21,0,21,21,7.6,0,3382,169,0,16,2020,1,0,26,0.05,0,0,2.5,0.051,0.003,0.081,0,49,160,"1 cup, cubes"
11269,"MUSHROOMS,SHIITAKE,CKD,WO/SALT",83.48,56,1.56,0.22,0.35,14.39,2.1,3.84,3,0.44,14,29,117,4,1.33,0.896,0.204,24.8,0.3,0.037,0.17,1.5,3.594,0.159,21,0,21,21,36.8,0,0,0,0,0,0,0,0,0,0,0.7,28,0,0.05,0.07,0.034,0,0,72,4 mushrooms
09193,"OLIVES,RIPE,CND (SMALL-EXTRA LRG)",79.99,115,0.84,10.68,2.23,6.26,3.2,0,88,3.3,4,3,8,735,0.22,0.251,0.02,0.9,0.9,0.003,0,0.037,0.015,0.009,0,0,0,0,10.3,0,403,20,0,0,237,9,0,510,1.65,0,0,1.4,1.415,7.888,0.911,0,0,4.4,1 large
11291,"ONIONS,SPRING OR SCALLIONS (INCL TOPS&BULB),RAW",89.83,32,1.83,0.19,0.81,7.34,2.6,2.33,72,1.48,20,37,276,16,0.39,0.083,0.16,0.6,18.8,0.055,0.08,0.525,0.075,0.061,64,0,64,64,5.7,0,997,50,0,0,598,0,0,1137,0.55,0,0,207,0.032,0.027,0.074,0,4,6,"1 tbsp, chopped"
09200,"ORANGES,RAW,ALL COMM VAR",86.75,47,0.94,0.12,0.44,11.75,2.4,9.35,40,0.1,10,14,181,0,0.07,0.045,0.025,0.5,53.2,0.087,0.04,0.282,0.25,0.06,30,0,30,30,8.4,0,225,11,0,11,71,116,0,129,0.18,0,0,0,0.015,0.023,0.025,0,27,184,"1 large,  (3-1/16"" dia)"
02029,"PARSLEY,DRIED",5.89,292,26.63,5.48,11.36,50.64,26.7,7.27,1140,22.04,400,436,2683,452,5.44,0.78,9.81,14.1,125,0.196,2.383,9.943,1.062,0.9,180,0,180,180,97.1,0,1939,97,0,17,1152,4,0,2428,8.96,0,0,1359.5,1.378,0.761,3.124,0,0,1.6,1 tbsp
11297,"PARSLEY,FRSH",87.71,36,2.97,0.79,2.2,6.33,3.3,0.85,138,6.2,50,58,554,56,1.07,0.149,0.16,0.1,133,0.086,0.098,1.313,0.4,0.09,152,0,152,152,12.8,0,8424,421,0,0,5054,0,0,5561,0.75,0,0,1640,0.132,0.295,0.124,0,5,3.8,1 tbsp
16087,"PEANUTS,ALL TYPES,RAW",6.5,567,25.8,49.24,2.33,16.13,8.5,4.72,92,4.58,168,376,705,18,3.27,1.144,1.934,7.2,0,0.64,0.135,12.066,1.767,0.348,240,0,240,240,52.5,0,0,0,0,0,0,0,0,0,8.33,0,0,0,6.279,24.426,15.558,0,0,146,1 cup
11962,"PEPPERS,HOT CHILE,SUN-DRIED",7.15,324,10.58,5.81,6.6,69.86,28.7,41.06,45,6.04,88,159,1870,91,1.02,0.228,0.821,3.5,31.4,0.081,1.205,8.669,0.956,0.81,51,0,51,51,84.3,0,26488,1324,0,994,14844,1103,0,5494,3.14,0,0,108.2,0.813,0.468,3.079,0,0,0.5,1 pepper
11821,"PEPPERS,SWT,RED,RAW",92.21,31,0.99,0.3,0.47,6.03,2.1,4.2,7,0.43,12,26,211,4,0.25,0.017,0.112,0.1,127.7,0.054,0.085,0.979,0.317,0.291,46,0,46,46,5.6,0,3131,157,0,20,1624,490,0,51,1.58,0,0,4.9,0.027,0.003,0.07,0,18,92,"1 cup, sliced"
09291,"PLUMS,DRIED (PRUNES),UNCKD",30.92,240,2.18,0.38,2.64,63.88,7.1,38.13,43,0.93,41,69,732,2,0.44,0.281,0.299,0.3,0.6,0.051,0.186,1.882,0.422,0.205,4,0,4,4,10.1,0,781,39,0,57,394,93,0,148,0.43,0,0,59.5,0.088,0.053,0.062,0,13,9.5,"1 prune, pitted"
09279,"PLUMS,RAW",87.23,46,0.7,0.28,0.37,11.42,1.4,9.92,6,0.17,7,16,157,0,0.1,0.057,0.052,0,9.5,0.028,0.026,0.417,0.135,0.029,5,0,5,5,1.9,0,345,17,0,0,190,35,0,73,0.26,0,0,6.4,0.017,0.134,0.044,0,6,66,"1 fruit,  (2-1/8"" dia)"
11363,"POTATOES,BKD,FLESH,WO/SALT",75.42,93,1.96,0.1,0.97,21.55,1.5,1.7,5,0.35,25,50,391,5,0.29,0.215,0.161,0.3,12.8,0.105,0.021,1.395,0.555,0.301,9,0,9,9,14.5,0,0,0,0,0,0,0,0,0,0.04,0,0,0.3,0.026,0.002,0.043,0,23,156,"1 potato,  (2-1/3"" x 4-3/4"")"
12163,"PUMPKIN&SQUASH SEEDS,WHL,RSTD,WO/SALT",4.5,446,18.55,19.4,3.8,53.75,18.4,,55,3.31,262,92,919,18,10.3,0.69,0.496,,0.3,0.034,0.052,0.286,0.056,0.037,9,0,9,9,,0,62,3,0,,,,,,,0,0,,3.67,6.032,8.844,0,0,28.35,"1 oz,  (85 seeds)"
09307,"RHUBARB,RAW",93.61,21,0.9,0.2,0.76,4.54,1.8,1.1,86,0.22,12,14,288,4,0.1,0.021,0.196,1.1,8,0.02,0.03,0.3,0.085,0.024,7,0,7,7,6.1,0,102,5,0,0,61,0,0,170,0.27,0,0,29.3,0.053,0.039,0.099,0,25,51,1 stalk
15237,"SALMON,ATLANTIC,FARMED,CKD,DRY HEAT",64.75,206,22.1,12.35,1.15,0,0,,15,0.34,30,252,384,61,0.43,0.049,0.016,41.4,3.7,0.34,0.135,8.045,1.475,0.647,34,0,34,34,,2.8,50,,,,,,,,,,,,2.504,4.432,4.426,63,0,178,.5 fillet
15209,"SALMON,ATLANTIC,WILD,CKD,DRY HEAT",59.62,182,25.44,8.13,3.26,0,0,,15,1.03,37,256,628,56,0.82,0.321,0.021,46.8,0,0.275,0.487,10.077,1.92,0.944,29,0,29,29,,3.05,44,13,13,,,,,,,,,,1.257,2.697,3.256,71,0,154,.5 fillet
15086,"SALMON,SOCKEYE,CKD,DRY HEAT",68,169,25.4,6.69,1.43,0,0,0,12,0.5,36,317,408,134,0.5,0.072,0.013,36.5,0,0.215,0.14,9.698,1.371,0.693,9,0,9,9,112.7,5.67,207,69,69,0,0,0,0,0,1.14,13.1,526,0.1,1.409,2.22,2.272,63,0,155,.5 fillet
15088,"SARDINE,ATLANTIC,CND IN OIL,DRND SOL W/BONE",59.61,208,24.62,11.45,3.38,0,0,0,382,2.92,39,490,397,307,1.31,0.186,0.108,52.7,0,0.08,0.227,5.245,0.642,0.167,10,0,10,10,75,8.94,108,32,32,0,0,0,0,0,2.04,4.8,193,2.6,1.528,3.869,5.148,142,0,28.35,1 oz
11667,"SEAWEED,SPIRULINA,DRIED",4.68,290,57.47,7.72,6.23,23.9,3.6,3.1,120,28.5,195,118,1363,1048,2,6.1,1.9,7.2,10.1,2.38,3.67,12.82,3.48,0.364,94,0,94,94,66,0,570,29,0,0,342,0,0,0,5,0,0,25.5,2.65,0.675,2.08,0,0,7,1 tablespoon
12536,"SEEDS,SUNFLOWER SD KRNLS FROM SHELL,DRY RSTD,W/ SALT ADDED",1.2,546,19.33,49.8,14.36,15.31,9,2.73,70,3.8,129,1155,850,6008,5.29,1.83,2.11,79.3,1.4,0.106,0.246,7.042,7.042,0.804,237,0,237,237,55.1,0,9,0,0,0,5,0,0,0,26.1,0,0,2.7,5.219,9.505,32.884,0,46,28.35,1 oz
15151,"SHRIMP,MXD SP,CKD,MOIST HEAT",71.56,119,22.78,1.7,3.11,1.52,0,0,91,0.32,37,306,170,947,1.63,0.258,0.049,49.5,0,0.032,0.024,2.678,0.519,0.242,24,0,24,24,135.4,1.66,301,90,90,0,0,0,0,0,2.2,0.1,4,0.4,0.521,0.361,0.59,211,0,22,4 large
02027,"SPICES,OREGANO,DRIED",9.93,265,9,4.28,7.87,68.92,42.5,4.09,1597,36.8,270,148,1260,25,2.69,0.633,4.99,4.5,2.3,0.177,0.528,4.64,0.921,1.044,237,0,237,237,32.3,0,1701,85,0,20,1007,7,0,1895,18.26,0,0,621.7,1.551,0.716,1.369,0,0,1.8,"1 tsp, ground"
02042,"SPICES,THYME,DRIED",7.79,276,9.11,7.43,11.74,63.94,37,1.71,1890,123.6,220,201,814,55,6.18,0.86,7.867,4.6,50,0.513,0.399,4.94,,0.55,274,0,274,274,43.6,0,3800,190,0,0,2264,33,0,1895,7.48,0,0,1714.5,2.73,0.47,1.19,0,0,2.7,"1 tbsp, leaves"
11508,"SWEET POTATO,CKD,BKD IN SKN,FLESH,WO/ SALT",75.78,90,2.01,0.15,1.35,20.71,3.3,6.48,38,0.69,27,54,475,36,0.32,0.161,0.497,0.2,19.6,0.107,0.106,1.487,0.884,0.286,6,0,6,6,13.1,0,19218,961,0,43,11509,0,0,0,0.71,0,0,2.3,0.052,0.002,0.092,0,22,180,1 large
02049,"THYME,FRSH",65.11,101,5.56,1.68,3.2,24.45,14,,405,17.45,160,106,609,9,1.81,0.555,1.719,,160.1,0.048,0.471,1.824,0.409,0.348,45,0,45,45,,0,4751,238,0,,2851,,,,,0,0,,0.467,0.081,0.532,0,32,0.4,.5 tsp
16126,"TOFU,FIRM,PREP W/CA SULFATE&MAGNESIUM CHLORIDE (NIGARI)",84.95,70,8.19,4.17,1.01,1.69,0.9,0.6,201,1.61,37,121,148,12,0.83,0.213,0.625,9.9,0.2,0.06,0.063,0.101,0.11,0.071,19,0,19,19,28.1,0,0,0,0,0,0,0,0,0,0.01,0,0,2.4,0.863,1.226,1.794,0,0,81,.25 block
11530,"TOMATOES,RED,RIPE,CKD",94.34,18,0.95,0.11,0.6,4.01,0.7,2.49,11,0.68,9,28,218,11,0.14,0.075,0.105,0.5,22.8,0.036,0.022,0.532,0.129,0.079,13,0,13,13,6.9,0,489,24,0,0,293,0,3041,94,0.56,0,0,2.8,0.015,0.016,0.044,0,0,246,2 medium
09326,"WATERMELON,RAW",91.45,30,0.61,0.15,0.25,7.55,0.4,6.2,7,0.24,10,11,112,1,0.1,0.042,0.038,0.4,8.1,0.033,0.021,0.178,0.221,0.045,3,0,3,3,4.1,0,569,28,0,0,303,78,4532,8,0.05,0,0,0.1,0.016,0.037,0.05,0,48,152,"1 cup, diced"
12023,"SESAME SEEDS,WHOLE,DRIED",4.69,573,17.73,49.67,4.45,23.45,11.8,0.3,975,14.55,351,629,468,11,7.75,4.082,2.46,34.4,0,0.791,0.247,4.515,0.05,0.79,97,0,97,97,25.6,0,9,0,0,0,5,0,0,0,0.25,0,0,0,6.957,18.759,21.773,0,0,9,1 tbsp